Game Title,Recent Reviews,All Reviews,Release Date,Developer,Publisher,Genre,Original Price
Desert Child,Unknown,"Positive,(24),- 87% of the 24 user reviews for this game are positive.",11-Dec-18,Oscar Brittain,"Akupara Games,Akupara Games","Action,Indie,Racing,RPG,Simulation",$11.99 
The Ballad Singer,Unknown,"Positive,(22),- 86% of the 22 user reviews for this game are positive.",15-Feb-19,Curtel Games,"Curtel Games,Curtel Games","Adventure,Indie,RPG",$22.99 
Moebius: Empire Rising,Unknown,"Mostly Positive,(100),- 78% of the 100 user reviews for this game are positive.",15-Apr-14,Phoenix Online Studios,"Phoenix Online Publishing,Phoenix Online Publishing","Adventure,Indie",$14.99 
Hot Tin Roof: The Cat That Wore A Fedora,Unknown,"Mostly Positive,(51),- 74% of the 51 user reviews for this game are positive.",20-Feb-15,Glass Bottom Games,"Glass Bottom Games,Glass Bottom Games","Action,Adventure,Indie,RPG",$14.99 
Organic Panic,Unknown,"8 user reviews,- Need more user reviews to generate a score",14-May-14,Last Limb LLC,"GameMill,GameMill","Action,Casual,Indie,Early Access",Unknown
Infinite Space III: Sea of Stars,Unknown,"Mostly Positive,(37),- 75% of the 37 user reviews for this game are positive.",29-Oct-15,Digital Eel,"Digital Eel,Digital Eel","Adventure,Indie",$9.99 
The Mysterious Cities of Gold,Unknown,"Mostly Positive,(24),- 79% of the 24 user reviews for this game are positive.",21-Nov-13,Neko Entertainment,"Neko Entertainment,Neko Entertainment","Adventure,Casual,Indie",$11.99 
Nevermind,Unknown,"Mostly Positive,(258),- 72% of the 258 user reviews for this game are positive.",29-Sep-15,Flying Mollusk,"Flying Mollusk,Flying Mollusk","Adventure,Indie",$19.99 
Epic Tavern,Unknown,"Mostly Positive,(153),- 71% of the 153 user reviews for this game are positive.",13-Sep-17,Hyperkinetic Studios,"Epic Tavern Holdings,Epic Tavern Holdings","Adventure,Indie,RPG,Strategy,Early Access",$24.99 
Neverending Nightmares,Unknown,"Mostly Positive,(1,244),- 75% of the 1,244 user reviews for this game are positive.",26-Sep-14,Infinitap Games,"Infinitap Games,Infinitap Games","Action,Adventure,Indie",$14.99 
Legends of Eisenwald,Unknown,"Mostly Positive,(978),- 76% of the 978 user reviews for this game are positive.",2-Jul-15,Aterdux Entertainment,"Aterdux Entertainment,Aterdux Entertainment","Adventure,Indie,RPG,Strategy",$19.99 
Dyscourse,Unknown,"Mostly Positive,(171),- 77% of the 171 user reviews for this game are positive.",25-Mar-15,Owlchemy Labs,"Owlchemy Labs,Owlchemy Labs","Adventure,Casual,Indie,Simulation",$14.99 
Wings! Remastered Edition,Unknown,"Mostly Positive,(255),- 79% of the 255 user reviews for this game are positive.",17-Oct-14,Cinemaware,"Cinemaware,Cinemaware","Action,Simulation",$14.99 
Sportsfriends,Unknown,"Mostly Positive,(22),- 72% of the 22 user reviews for this game are positive.",19-Dec-14,Die Gute Fabrik,"Die Gute Fabrik,Die Gute Fabrik","Indie,Sports",$14.99 
Iron Tides,Unknown,"Mostly Positive,(34),- 76% of the 34 user reviews for this game are positive.",24-Jul-17,Crash Wave Games Inc.,"Crash Wave Games Inc.,Crash Wave Games Inc.","Adventure,Casual,Indie,Simulation,Strategy,Early Access",$14.99 
All Walls Must Fall - A Tech-Noir Tactics Game,Unknown,"Mostly Positive,(103),- 76% of the 103 user reviews for this game are positive.",23-Feb-18,inbetweengames,"inbetweengames,inbetweengames","Action,Indie,RPG,Strategy",$9.99 
The Flame in the Flood,"Mixed,(20),- 40% of the 20 user reviews in the last 30 days are positive.","Mostly Positive,(1,641),- 74% of the 1,641 user reviews for this game are positive.",24-Feb-16,The Molasses Flood,"The Molasses Flood,Curve Digital,The Molasses Flood,Curve Digital","Action,Adventure,Indie",$14.99 
Black The Fall,Unknown,"Mostly Positive,(266),- 76% of the 266 user reviews for this game are positive.",11-Jul-17,Sand Sailor Studio,"Square Enix,Square Enix","Action,Adventure,Indie",$14.99 
"Sir, You Are Being Hunted",Unknown,"Mostly Positive,(2,691),- 79% of the 2,691 user reviews for this game are positive.",19-Aug-13,Big Robot Ltd,"Big Robot Ltd,Big Robot Ltd","Action,Indie",$19.99 
Hero Generations,Unknown,"Mixed,(148),- 48% of the 148 user reviews for this game are positive.",10-Apr-15,Heart Shaped Games LLC,"Heart Shaped Games LLC,Heart Shaped Games LLC","Indie,RPG,Simulation,Strategy",$5.99 
A Wizard's Lizard,Unknown,"Mixed,(232),- 67% of the 232 user reviews for this game are positive.",16-Jun-14,Lost Decade Games,"Lost Decade Games,Lost Decade Games","Action,Indie,RPG",$9.99 
Humans Must Answer,Unknown,"Mixed,(35),- 62% of the 35 user reviews for this game are positive.",16-Jan-14,Sumom Games,"Sumom Games,Sumom Games","Action,Indie",$4.99 
Guncraft,Unknown,"Mixed,(827),- 49% of the 827 user reviews for this game are positive.",9-Aug-13,Exato Games Studio,"Reverb Triple XP,Reverb Triple XP","Action,Indie",$14.99 
C-Wars,Unknown,"Mixed,(54),- 64% of the 54 user reviews for this game are positive.",13-Aug-15,Onipunks Studio Inc.,"Onipunks Studio Inc.,Onipunks Studio Inc.","Action,Indie,RPG,Strategy,Early Access",$12.99 
GhostControl Inc.,Unknown,"Mixed,(117),- 69% of the 117 user reviews for this game are positive.",6-Jun-14,bumblebee,"Application Systems Heidelberg,Application Systems Heidelberg","Casual,Indie,Simulation,Strategy",$14.99 
Windforge,Unknown,"Mixed,(297),- 68% of the 297 user reviews for this game are positive.",11-Mar-14,Snowed In Studios,"Snowed In Studios,Snowed In Studios","Action,Indie,RPG",$9.99 
Orion Trail,Unknown,"Mixed,(76),- 68% of the 76 user reviews for this game are positive.",12-Oct-15,Schell Games,"Schell Games,Schell Games","Adventure,Indie",$7.99 
NightCry,Unknown,"Mixed,(153),- 60% of the 153 user reviews for this game are positive.",28-Mar-16,Nude Maker,"AGM PLAYISM,AGM PLAYISM","Adventure,Indie",$24.99 
AR-K,Unknown,"Mixed,(161),- 58% of the 161 user reviews for this game are positive.",21-Jul-14,GATO STUDIO,"GATO STUDIO,GATO STUDIO","Adventure,Indie",$7.99 
Battle Worlds: Kronos,Unknown,"Mixed,(182),- 64% of the 182 user reviews for this game are positive.",4-Nov-13,KING Art,"KING Art,THQ Nordic,KING Art,THQ Nordic",Strategy,$19.99 
Drifter,Unknown,"Mixed,(157),- 66% of the 157 user reviews for this game are positive.",4-Mar-14,Celsius Game Studios,"Celsius Game Studios,Celsius Game Studios","Action,Indie,Simulation,Early Access",$11.99 
The Hat Man: Shadow Ward,Unknown,"Mixed,(2,955),- 66% of the 2,955 user reviews for this game are positive.",10-Jun-16,Game Mechanics LLC,Unknown,"Action,Adventure,Indie",$9.99 
Chasm,Unknown,"Mixed,(523),- 67% of the 523 user reviews for this game are positive.",31-Jul-18,"Bit Kid, Inc.","Bit Kid, Inc.,Bit Kid, Inc.","Action,Adventure,Indie,RPG",$19.99 
Shroud of the Avatar: Forsaken Virtues,"Mostly Negative,(34),- 29% of the 34 user reviews in the last 30 days are positive.","Mixed,(2,148),- 50% of the 2,148 user reviews for this game are positive.",27-Mar-18,Portalarium,"Portalarium,Portalarium","Free to Play,Massively Multiplayer,RPG",Free to Play
Shadowrun Chronicles - Boston Lockdown,Unknown,"Mixed,(647),- 59% of the 647 user reviews for this game are positive.",28-Apr-15,Cliffhanger Productions,"Cliffhanger Productions,Cliffhanger Productions","Indie,RPG,Strategy",Unknown
Theme Park Studio,Unknown,"Mixed,(350),- 42% of the 350 user reviews for this game are positive.",2-Dec-16,Pantera Entertainment,"Pantera Entertainment,Pantera Entertainment","Indie,Simulation",$29.99 
Islands of Nyne: Battle Royale,"Mostly Negative,(53),- 28% of the 53 user reviews in the last 30 days are positive.","Mixed,(6,659),- 53% of the 6,659 user reviews for this game are positive.",12-Jul-18,Define Human Studios,"Define Human Studios,Define Human Studios","Action,Indie,Early Access",Free To Play
Mighty No. 9,Unknown,"Mixed,(1,435),- 57% of the 1,435 user reviews for this game are positive.",21-Jun-16,"Comcept,Inti Creates","Deep Silver,Deep Silver",Action,$19.99 
Star Command Galaxies,Unknown,"Mixed,(222),- 54% of the 222 user reviews for this game are positive.",17-Sep-15,Warballoon,"Warballoon,Warballoon","Indie,Simulation,Strategy,Early Access",$14.99 
Anima Gate of Memories,Unknown,"Mixed,(372),- 69% of the 372 user reviews for this game are positive.",2-Jun-16,Anima Project,"BadLand Publishing,BadLand Publishing","Action,Adventure,RPG",$19.99 
Children of Zodiarcs,Unknown,"Mixed,(204),- 69% of the 204 user reviews for this game are positive.",18-Jul-17,Cardboard Utopia,"Square Enix,Square Enix","Indie,RPG,Strategy",$17.99 
Fallen: A2P Protocol,Unknown,"Mostly Negative,(166),- 33% of the 166 user reviews for this game are positive.",14-Aug-15,Red Katana,"Red Katana,Red Katana","Indie,RPG,Strategy",$9.99 
Two Brothers,Unknown,"Mostly Negative,(32),- 31% of the 32 user reviews for this game are positive.",3-Dec-13,Ackk Studios,"Ackk Studios,Ackk Studios","Action,Adventure,Indie,RPG",Unknown
Akaneiro: Demon Hunters,Unknown,"Mostly Negative,(320),- 35% of the 320 user reviews for this game are positive.",25-Nov-14,Spicy Horse,"Spicy Horse,Spicy Horse","Action,Free to Play,Indie,RPG",Free to Play
Into the Stars,Unknown,"Mostly Negative,(341),- 39% of the 341 user reviews for this game are positive.",4-Mar-16,Fugitive Games,"Iceberg Interactive,Iceberg Interactive","Action,Adventure,Indie,Simulation,Strategy",$19.99 
Jagged Alliance Flashback,Unknown,"Mostly Negative,(367),- 33% of the 367 user reviews for this game are positive.",21-Oct-14,Full Control,"Full Control,THQ Nordic,Full Control,THQ Nordic","Indie,RPG,Strategy",$19.99 
Edge of Space,Unknown,"Mostly Negative,(1,883),- 36% of the 1,883 user reviews for this game are positive.",17-Sep-15,Handyman Studios,"Reverb Triple XP,Reverb Triple XP","Action,Adventure,Indie,RPG",$14.99 
Godus,"Very Negative,(17),- 11% of the 17 user reviews in the last 30 days are positive.","Mostly Negative,(5,484),- 26% of the 5,484 user reviews for this game are positive.",Unknown,22cans,"22cans Ltd.,22cans Ltd.","Indie,Simulation,Strategy,Early Access",$14.99 
Legends of Persia,Unknown,"Negative,(14),- 7% of the 14 user reviews for this game are positive.",3-Jun-14,Sourena Game Studio,"Plug in Digital,Plug in Digital","Action,Adventure,Indie,RPG",$19.99 
Eterium,Unknown,"Positive,(26),- 88% of the 26 user reviews for this game are positive.",15-Apr-14,Rogue Earth LLC,"Rogue Earth LLC,Rogue Earth LLC","Action,Indie",$4.99 
StarCrossed,Unknown,Unknown,2019,Contigo Games,"Whitethorn Digital,Whitethorn Digital","Action,Indie",Unknown
Gibbous -  A Cthulhu Adventure,Unknown,Unknown,Soon!,Stuck In Attic,"Stuck In Attic,Stuck In Attic","Adventure,Indie",Unknown
Children of Morta,Unknown,Unknown,Summer 2019 - wishlist now!,Dead Mage,"11 bit studios,11 bit studios","Action,Adventure,Indie,RPG",Unknown
Noble Armada: Lost Worlds,Unknown,Unknown,13-Sep-18,"Gamesare,Holistic Design","Holistic Design,Holistic Design",Strategy,$19.99 
Lonely Mountains: Downhill,Unknown,Unknown,2019,Megagon Industries,"Thunderful,Thunderful","Indie,Racing,Sports",Unknown
